sku,name,link,price
042929,Плита влагостойкая OSB-3 Taleon 2500х1250х12 мм,https://glavsnab.net/plita-vlagostoykaya-osb-3-taleon-2500h1250h12-mm.html,1225.0000
465168,"Гипсокартон звукоизоляционный SoundGuard Gipsofon ПЛУК 2000х1200х12,5 мм",https://glavsnab.net/gipsokarton-zvukoizolyatsionnyy-soundguard-gipsofon-pluk-2000kh1200kh12-5-mm.html,912.0000
307495,Фанера ФК 1525х1525х8 мм сорт 2/2 шлифованная Ш2,https://glavsnab.net/fanera-fk-1525h1525h8-mm-sort-2-2-shlifovannaya-sh2.html,1494.0000
254001,"Гипсокартон (ГКЛ) звукоизоляционный AcousticGyps 2500х1200х12,5 мм",https://glavsnab.net/gipsokarton-gkl-zvukoizolyacionniy-acousticgyps-2500h1200h12-5-mm.html,1095.0000
066948,Фанера ФК 1525х1525х10 мм сорт 4/4 нешлифованная,https://glavsnab.net/fanera-fk-1525h1525h10-mm-sort-4-4-neshlifovannaya.html,968.0000
173129,Лента уплотнительная Кнауф Дихтунгсбанд 30000x50х3 мм,https://glavsnab.net/lenta-uplotnitelnaya-knauf-dihtungsband-30000x50h3-mm.html,400.0000
226319,Цементно-стружечная плита Кострома 3200х1250х20 мм,https://glavsnab.net/cementno-struzhechnaya-plita-kostroma-3200h1250h20-mm.html,4080.0000
299467,Клеящая лента Момент Хозлента металлизированная 50 м,https://glavsnab.net/kleyaschaya-lenta-moment-hozlenta-metallizirovannaya-50-m.html,250.0000
307493,Фанера ФК 1525х1525х4 мм сорт 2/2 шлифованная Ш2,https://glavsnab.net/fanera-fk-1525h1525h4-mm-sort-2-2-shlifovannaya-sh2.html,783
826354,Тяга подвеса Металлист 300 мм,https://glavsnab.net/tyaga-podvesa-metallist-300-mm.html,6
067931,Плита цементно-стружечная Тамак 2700х1250х10 мм,https://glavsnab.net/csp-cementno-struzhechnaja-plita-2700-1250-10mm.html,2495.0000
125051,Подвес Knauf Нониус верхняя часть 500 мм,https://glavsnab.net/podves-knauf-nonius-verkhnyaya-chast-500-mm.html,37.0000
252337,Изолента ПВХ Uniel UIT-135P 19 мм синяя 20 м,https://glavsnab.net/izolenta-pvkh-uniel-uit-135p-19-mm-sinyaya-20-m.html,93.0000
216788,Доска АЦЭИД Фибратек 1500х1000х8 мм,https://glavsnab.net/doska-aceid-fibratek-1500h1000h8-mm.html,750.0000
